Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:30:30.125	1830.125	00:30:30.772	1830.772	00:00:00.647	0.647	2018-07-26_Omaiyo_2_134	kùnyírtá	kùnyúrtá	kunyirta	star
00:30:58.939	1858.939	00:30:59.884	1859.884	00:00:00.945	0.945	2018-07-26_Omaiyo_2_135	ŋ̀gínánà	gínánà	nginana	liver
00:31:01.581	1861.581	00:31:02.413	1862.413	00:00:00.832	0.832	2018-07-26_Omaiyo_2_136	ŋ̀gínánà	gínánà	nginana	liver
00:31:35.624	1895.624	00:31:36.652	1896.652	00:00:01.028	1.028	2018-07-26_Omaiyo_2_137	ŋ̀gàùrágé	ǹgàùrágè	ngaudage	say
00:31:36.898	1896.898	00:31:37.957	1897.957	00:00:01.059	1.059	2018-07-26_Omaiyo_2_138	ŋ̀gàùrágé	ǹgàùrágè	ngaudage	say
00:31:40.579	1900.579	00:31:41.638	1901.638	00:00:01.059	1.059	2018-07-26_Omaiyo_2_139	ŋ̀gàùrágé	ǹgàùrágè	ngaudage	say
00:33:06.604	1986.604	00:33:07.427	1987.427	00:00:00.823	0.823	2018-07-26_Omaiyo_2_140	gɪ̀tàʃá	gìtàʃá	getasha	egg(s)
00:33:08.856	1988.856	00:33:09.514	1989.514	00:00:00.658	0.658	2018-07-26_Omaiyo_2_141	gɪ̀tàʃá	gìtàʃá	getasha	egg(s)
00:33:10.912	1990.912	00:33:11.601	1991.601	00:00:00.689	0.689	2018-07-26_Omaiyo_2_142	gɪ̀tàʃá	gìtàʃá	getasha	egg(s)
00:33:14.405	1994.405	00:33:15.299	1995.299	00:00:00.894	0.894	2018-07-26_Omaiyo_2_143	gɪ̀tàʃá	gìtàʃá	getasha	egg(s)
00:33:57.369	2037.369	00:33:58.541	2038.541	00:00:01.172	1.172	2018-07-26_Omaiyo_2_144	kàíŋgíɲíː	kàíngíɲì	ngaginyi	drink
00:34:04.310	2044.31	00:34:05.482	2045.482	00:00:01.172	1.172	2018-07-26_Omaiyo_2_145	kàíŋgíɲíː	kàíngíɲì	ngaginyi	drink
00:36:00.481	2160.481	00:36:01.601	2161.601	00:00:01.120	1.12	2018-07-26_Omaiyo_2_146	ǹgàùnóógí	ǹgàùnóógì	ngaunogi	tooth/teeth
00:36:04.254	2164.254	00:36:05.045	2165.045	00:00:00.791	0.791	2018-07-26_Omaiyo_2_147	ǹgàùnóógí	ǹgàùnóógì	ngaunogi	tooth/teeth
00:36:10.597	2170.597	00:36:11.707	2171.707	00:00:01.110	1.11	2018-07-26_Omaiyo_2_148	ǹgàùnóógí	ǹgàùnóógì	ngaunogi	tooth/teeth
00:36:39.628	2199.628	00:36:40.554	2200.554	00:00:00.926	0.926	2018-07-26_Omaiyo_2_149	gɪ̀dérú	gìtérù	giteru	night
00:36:42.641	2202.641	00:36:43.278	2203.278	00:00:00.637	0.637	2018-07-26_Omaiyo_2_150	gɪ̀dérú	gìtérù	giteru	night
00:36:45.548	2205.548	00:36:46.412	2206.412	00:00:00.864	0.864	2018-07-26_Omaiyo_2_151	gɪ̀dérú	gìtérù	giteru	night
00:36:47.234	2207.234	00:36:48.232	2208.232	00:00:00.998	0.998	2018-07-26_Omaiyo_2_152	gɪ̀dérú	gìtérù	giteru	night
00:37:29.896	2249.896	00:37:30.657	2250.657	00:00:00.761	0.761	2018-07-26_Omaiyo_2_153	hɛ́ldà	héldà	helda	leg(s)
00:37:31.881	2251.881	00:37:32.652	2252.652	00:00:00.771	0.771	2018-07-26_Omaiyo_2_154	hɛ́ldà	héldà	helda	leg(s)
00:37:32.724	2252.724	00:37:33.423	2253.423	00:00:00.699	0.699	2018-07-26_Omaiyo_2_155	hɛ́ldà	héldà	helda	leg(s)
00:37:36.743	2256.743	00:37:37.566	2257.566	00:00:00.823	0.823	2018-07-26_Omaiyo_2_156	hɛ́ldà	héldà	helda	leg(s)
00:37:42.708	2262.708	00:37:43.489	2263.489	00:00:00.781	0.781	2018-07-26_Omaiyo_2_157	hɛ́ldà	héldà	helda	leg(s)
00:37:45.473	2265.473	00:37:46.203	2266.203	00:00:00.730	0.73	2018-07-26_Omaiyo_2_158	hɛ́ldà	héldà	helda	leg(s)
